n/k,p,urea,MoP,tsP,Crop_Aus(BRI 27),Crop_Aus(BRI 42),Crop_B. Aman,Crop_Boro Rice(BRI 28),Crop_Boro Rice(BRI 29),Crop_Boro Rice(BRI 36),Crop_T. Aman(BRRI 25),Crop_T. Aman(BRRI 51),Crop_T. Aman(Binadhan 9)
0.08333333333333333,0.08333333333333333,387,292.0,213.0,0,0,1,0,0,0,0,0,0
0.1111111111111111,0.1111111111111111,375,281.0,202.0,0,0,1,0,0,0,0,0,0
0.1388888888888889,0.1388888888888889,363,270.0,192.0,0,0,1,0,0,0,0,0,0
0.16666666666666666,0.16666666666666666,351,259.0,182.0,0,0,1,0,0,0,0,0,0
0.19444444444444445,0.19444444444444442,340,248.0,172.0,0,0,1,0,0,0,0,0,0
0.2222222222222222,0.2222222222222222,328,238.0,162.0,0,0,1,0,0,0,0,0,0
0.24999999999999997,0.25,316,227.0,152.0,0,0,1,0,0,0,0,0,0
0.2777777777777778,0.2777777777777778,305,216.0,142.0,0,0,1,0,0,0,0,0,0
0.3055555555555555,0.3055555555555555,293,205.0,132.0,0,0,1,0,0,0,0,0,0
0.3333333333333333,0.3333333333333333,281,194.0,121.0,0,0,1,0,0,0,0,0,0
0.3611111111111111,0.3611111111111111,269,184.0,111.0,0,0,1,0,0,0,0,0,0
0.3888888888888889,0.38888888888888884,258,173.0,101.0,0,0,1,0,0,0,0,0,0
0.41666666666666663,0.41666666666666663,246,162.0,91.0,0,0,1,0,0,0,0,0,0
0.4444444444444444,0.4444444444444444,234,151.0,81.0,0,0,1,0,0,0,0,0,0
0.47222222222222227,0.4722222222222222,223,140.0,71.0,0,0,1,0,0,0,0,0,0
0.49999999999999994,0.5,211,130.0,61.0,0,0,1,0,0,0,0,0,0
0.5277777777777778,0.5277777777777778,199,119.0,51.0,0,0,1,0,0,0,0,0,0
0.5555555555555556,0.5555555555555556,187,108.0,40.0,0,0,1,0,0,0,0,0,0
0.5833333333333333,0.5833333333333333,176,97.0,30.0,0,0,1,0,0,0,0,0,0
